region,street,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,nettPrice
CCR,SHENTON WAY,69,11-15,1,1216,1,1560600,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,164,46-50,1,1016,1,3820000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,42,26-30,1,1016,1,1150000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,142,41-45,1,0417,1,3210000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,47,51-55,1,0818,1,1616000,Apartment,01,Strata,99 yrs lease commencing from 2011,1567520
CCR,SHENTON WAY,112,46-50,1,0417,1,2650000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,44,41-45,1,1116,1,1276240,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,44,11-15,1,0318,2,1048000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,113,41-45,1,1017,1,2800000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,44,46-50,1,0317,1,1305585,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,164,36-40,1,0119,1,3638000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,142,41-45,1,0417,1,3174000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,141,36-40,1,0119,1,3130000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,64,26-30,1,1217,2,1600000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,69,21-25,1,0417,1,1620000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,42,51-55,1,0418,1,1458000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,112,41-45,1,0219,1,2855680,Apartment,01,Strata,99 yrs lease commencing from 2011,2847680
CCR,SHENTON WAY,126,36-40,1,0517,1,2823210,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,42,26-30,1,0816,1,1132200,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,112,41-45,1,1018,1,2654505,Apartment,01,Strata,99 yrs lease commencing from 2011,2644505
CCR,SHENTON WAY,113,41-45,1,0716,1,2470500,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,42,31-35,1,1016,1,1146965,Apartment,01,Strata,99 yrs lease commencing from 2011,
