street,refPeriod,psf75,median,psf25,district
HUME AVENUE,2019Q4,2.29,2.17,2.0,21
HUME AVENUE,2020Q2,2.41,2.3,2.16,21
HUME AVENUE,2019Q1,2.32,2.09,1.97,21
HUME AVENUE,2019Q3,2.37,2.27,2.17,21
HUME AVENUE,2020Q3,2.45,2.32,2.16,21
HUME AVENUE,2020Q1,2.38,2.22,2.08,21
HUME AVENUE,2019Q2,2.47,2.31,2.09,21
HUME AVENUE,2020Q4,2.48,2.31,2.16,21
HILLVIEW AVENUE,2018Q3,2.35,2.05,1.94,23
HILLVIEW AVENUE,2018Q4,2.19,2.09,2.04,23
HILLVIEW AVENUE,2019Q1,2.38,2.22,1.95,23
HILLVIEW AVENUE,2019Q3,2.41,2.19,2.03,23
HILLVIEW AVENUE,2020Q1,2.37,2.2,1.97,23
HILLVIEW AVENUE,2019Q2,2.26,2.05,1.87,23
HILLVIEW AVENUE,2019Q4,2.19,2.09,2.03,23
HILLVIEW AVENUE,2020Q3,2.2,2.04,1.99,23
HILLVIEW AVENUE,2020Q4,2.32,2.21,2.09,23
RIVER VALLEY CLOSE,2018Q1,2.79,2.63,2.43,09
RIVER VALLEY CLOSE,2018Q3,2.62,2.5,2.3,09
RIVER VALLEY CLOSE,2018Q2,2.79,2.47,2.29,09
RIVER VALLEY CLOSE,2018Q4,2.46,2.13,1.95,09
RIVER VALLEY CLOSE,2019Q1,2.67,2.42,2.17,09
SIMEI RISE,2018Q1,2.43,2.39,2.3,18
SIMEI RISE,2018Q3,2.47,2.34,2.3,18
SIMEI RISE,2018Q2,2.57,2.39,2.3,18
SIMEI RISE,2018Q4,2.43,2.37,2.3,18
SIMEI RISE,2019Q4,2.32,2.27,2.2,18
SIMEI RISE,2020Q2,2.27,2.26,2.2,18
SIMEI RISE,2019Q1,2.53,2.47,2.39,18
SIMEI RISE,2019Q3,2.45,2.34,2.25,18
SIMEI RISE,2020Q1,2.4,2.31,2.19,18
SIMEI RISE,2020Q3,2.29,2.25,2.11,18
SIMEI RISE,2019Q2,2.43,2.37,2.28,18
SIMEI RISE,2020Q4,2.35,2.19,2.04,18
LEW LIAN VALE,2018Q3,3.68,3.42,3.14,19
LEW LIAN VALE,2018Q2,3.72,3.52,3.28,19
LEW LIAN VALE,2019Q3,3.69,3.45,3.22,19
LEW LIAN VALE,2019Q2,3.67,3.42,2.97,19
LEW LIAN VALE,2019Q4,3.57,3.5,3.34,19
LEW LIAN VALE,2020Q3,3.65,3.44,3.02,19
LEW LIAN VALE,2020Q2,3.67,3.28,2.92,19
LEW LIAN VALE,2020Q4,3.61,3.5,3.31,19
DRAYCOTT PARK,2018Q1,5.63,5.23,4.78,10
DRAYCOTT PARK,2018Q3,5.61,5.34,4.74,10
DRAYCOTT PARK,2018Q2,5.75,5.16,4.08,10
DRAYCOTT PARK,2019Q1,5.54,5.05,4.68,10
DRAYCOTT PARK,2019Q3,5.16,4.86,4.38,10
DRAYCOTT PARK,2019Q2,5.97,5.66,5.22,10
DRAYCOTT PARK,2020Q3,4.65,4.47,4.33,10
DRAYCOTT PARK,2020Q4,4.54,4.45,4.14,10
CAIRNHILL ROAD,2019Q4,4.9,4.51,4.51,09
CAIRNHILL ROAD,2019Q3,4.91,4.51,4.26,09
PHENG GECK AVENUE,2018Q1,3.79,3.18,2.91,13
PHENG GECK AVENUE,2018Q3,3.6,3.18,2.99,13
PHENG GECK AVENUE,2018Q2,3.54,3.13,2.99,13
PHENG GECK AVENUE,2020Q2,4.12,3.19,2.97,13
PHENG GECK AVENUE,2020Q3,3.51,3.26,3.1,13
PHENG GECK AVENUE,2019Q1,4.04,3.22,2.99,13
PHENG GECK AVENUE,2019Q3,3.99,3.29,2.97,13
PHENG GECK AVENUE,2020Q1,3.96,3.29,3.1,13
PHENG GECK AVENUE,2019Q2,3.98,3.28,3.05,13
PHENG GECK AVENUE,2019Q4,3.48,3.07,2.0,13
PHENG GECK AVENUE,2020Q4,4.1,3.32,3.01,13
RIVER VALLEY ROAD,2018Q4,3.65,3.44,3.22,09
RIVER VALLEY ROAD,2018Q1,3.72,3.39,3.0,09
RIVER VALLEY ROAD,2018Q3,3.63,3.28,2.95,09
RIVER VALLEY ROAD,2018Q2,3.79,3.34,2.93,09
RIVER VALLEY ROAD,2019Q4,4.2,3.69,3.15,09
RIVER VALLEY ROAD,2020Q2,3.79,3.5,3.13,09
RIVER VALLEY ROAD,2020Q3,3.66,3.2,3.03,09
RIVER VALLEY ROAD,2019Q1,3.62,3.27,2.95,09
RIVER VALLEY ROAD,2019Q3,3.82,3.54,3.16,09
RIVER VALLEY ROAD,2020Q1,4.05,3.51,3.08,09
RIVER VALLEY ROAD,2019Q2,3.85,3.34,3.0,09
RIVER VALLEY ROAD,2020Q4,3.7,3.28,3.07,09
CRAIG ROAD,2020Q2,4.84,4.72,4.41,02
BEACH ROAD,2018Q4,4.16,3.73,3.13,07
BEACH ROAD,2018Q1,3.66,3.25,2.67,07
BEACH ROAD,2018Q3,4.24,3.65,3.15,07
BEACH ROAD,2018Q2,3.66,3.39,3.25,07
BEACH ROAD,2019Q4,3.95,3.51,2.71,07
BEACH ROAD,2020Q2,3.34,3.14,3.04,07
BEACH ROAD,2019Q1,4.1,3.76,2.86,07
BEACH ROAD,2020Q3,3.72,3.28,3.21,07
BEACH ROAD,2019Q3,3.86,3.47,3.22,07
BEACH ROAD,2020Q1,3.49,3.24,2.51,07
BEACH ROAD,2019Q2,3.83,3.69,3.15,07
BEACH ROAD,2020Q4,3.37,2.96,2.72,07
TANJONG RHU ROAD,2018Q3,2.88,2.42,2.09,15
TANJONG RHU ROAD,2019Q3,2.91,2.75,2.45,15
TANJONG RHU ROAD,2019Q4,2.91,2.82,2.7,15
ORCHARD ROAD,2020Q4,3.57,3.38,3.24,09
RIVER VALLEY CLOSE,2018Q1,3.36,3.27,3.19,09
RIVER VALLEY CLOSE,2018Q3,3.1,3.03,2.95,09
RIVER VALLEY CLOSE,2018Q2,3.38,3.19,3.1,09
RIVER VALLEY CLOSE,2019Q4,3.33,2.99,2.86,09
RIVER VALLEY CLOSE,2020Q3,2.88,2.77,2.7,09
RIVER VALLEY CLOSE,2020Q1,3.29,3.0,2.91,09
RIVER VALLEY CLOSE,2019Q2,3.29,3.24,3.1,09
RIVER VALLEY CLOSE,2020Q4,2.92,2.86,2.63,09
JALAN HAJIJAH,2018Q3,2.65,2.52,2.49,16
JALAN HAJIJAH,2020Q3,2.69,2.5,2.42,16
JALAN HAJIJAH,2019Q3,2.67,2.53,2.37,16
JALAN HAJIJAH,2019Q4,2.73,2.59,2.36,16
HOLLAND ROAD,2020Q3,7.12,6.66,6.44,10
HOLLAND ROAD,2019Q3,7.12,6.81,6.56,10
HOLLAND ROAD,2020Q4,6.97,6.5,5.57,10
KEPPEL BAY DRIVE,2018Q1,4.88,4.64,4.34,04
KEPPEL BAY DRIVE,2019Q1,4.81,4.47,4.29,04
KEPPEL BAY DRIVE,2018Q3,5.09,4.69,4.38,04
KEPPEL BAY DRIVE,2018Q2,4.91,4.56,4.36,04
KEPPEL BAY DRIVE,2018Q4,4.89,4.56,4.27,04
KEPPEL BAY DRIVE,2019Q3,4.88,4.53,4.27,04
KEPPEL BAY DRIVE,2020Q1,4.56,4.34,4.04,04
KEPPEL BAY DRIVE,2019Q2,4.88,4.71,4.46,04
KEPPEL BAY DRIVE,2019Q4,4.52,4.2,3.9,04
KEPPEL BAY DRIVE,2020Q3,4.38,4.15,3.91,04
KEPPEL BAY DRIVE,2020Q2,4.47,4.14,3.85,04
KEPPEL BAY DRIVE,2020Q4,4.49,4.11,3.91,04
TAMARIND ROAD,2018Q1,2.49,1.98,1.69,28
TAMARIND ROAD,2018Q3,2.06,1.83,1.74,28
TAMARIND ROAD,2018Q2,2.51,2.42,1.8,28
TAMARIND ROAD,2018Q4,1.9,1.87,1.81,28
TAMARIND ROAD,2019Q4,2.2,2.0,1.78,28
TAMARIND ROAD,2020Q2,2.34,2.27,1.81,28
TAMARIND ROAD,2020Q1,2.27,2.09,1.73,28
TAMARIND ROAD,2020Q3,2.27,2.11,1.89,28
TAMARIND ROAD,2019Q2,2.2,2.05,1.78,28
TAMARIND ROAD,2020Q4,2.11,2.06,1.85,28
PHENG GECK AVENUE,2018Q1,4.13,3.61,3.42,13
PHENG GECK AVENUE,2018Q3,4.11,3.8,3.42,13
PHENG GECK AVENUE,2018Q2,4.05,3.94,3.66,13
PHENG GECK AVENUE,2018Q4,3.79,3.56,3.18,13
PHENG GECK AVENUE,2019Q4,4.04,3.72,3.4,13
PHENG GECK AVENUE,2020Q2,4.05,3.75,3.41,13
PHENG GECK AVENUE,2019Q1,4.03,3.55,3.35,13
PHENG GECK AVENUE,2019Q3,4.03,3.8,3.38,13
PHENG GECK AVENUE,2020Q1,3.99,3.72,3.4,13
PHENG GECK AVENUE,2020Q3,4.03,3.75,3.47,13
PHENG GECK AVENUE,2019Q2,4.01,3.69,3.41,13
PHENG GECK AVENUE,2020Q4,3.72,3.52,3.25,13
BRIGHT HILL DRIVE,2018Q4,3.29,3.14,3.01,20
BRIGHT HILL DRIVE,2018Q1,3.42,3.14,2.9,20
BRIGHT HILL DRIVE,2018Q3,3.89,3.26,2.86,20
BRIGHT HILL DRIVE,2018Q2,3.17,3.0,2.83,20
BRIGHT HILL DRIVE,2019Q4,3.48,3.12,2.97,20
BRIGHT HILL DRIVE,2020Q2,3.39,3.22,3.06,20
BRIGHT HILL DRIVE,2019Q1,3.14,3.01,2.78,20
BRIGHT HILL DRIVE,2019Q3,3.74,3.28,2.89,20
BRIGHT HILL DRIVE,2020Q3,3.71,3.14,3.01,20
BRIGHT HILL DRIVE,2020Q1,3.27,3.14,3.01,20
BRIGHT HILL DRIVE,2019Q2,3.53,3.14,2.87,20
BRIGHT HILL DRIVE,2020Q4,3.52,3.14,2.92,20
PINE GROVE,2018Q3,2.63,2.62,2.42,21
PINE GROVE,2019Q3,2.76,2.6,2.4,21
PINE GROVE,2020Q3,2.67,2.44,2.32,21
SIMEI STREET 3,2018Q1,4.2,3.57,3.26,18
SIMEI STREET 3,2018Q3,4.02,3.44,3.13,18
SIMEI STREET 3,2018Q2,3.95,3.28,3.11,18
SIMEI STREET 3,2018Q4,3.8,3.36,3.13,18
SIMEI STREET 3,2020Q2,3.84,3.28,3.0,18
SIMEI STREET 3,2020Q3,3.93,3.44,3.17,18
SIMEI STREET 3,2019Q1,3.84,3.31,3.16,18
SIMEI STREET 3,2019Q3,4.27,3.83,3.29,18
SIMEI STREET 3,2020Q1,3.93,3.53,3.17,18
SIMEI STREET 3,2019Q2,3.93,3.34,3.14,18
SIMEI STREET 3,2019Q4,3.9,3.44,3.2,18
SIMEI STREET 3,2020Q4,3.8,3.25,3.08,18
MEYAPPA CHETTIAR ROAD,2019Q4,5.13,4.75,3.97,13
MEYAPPA CHETTIAR ROAD,2020Q2,5.09,4.82,4.49,13
MEYAPPA CHETTIAR ROAD,2019Q1,4.76,4.46,4.06,13
MEYAPPA CHETTIAR ROAD,2020Q3,5.0,4.59,4.21,13
MEYAPPA CHETTIAR ROAD,2019Q3,5.08,4.76,4.39,13
MEYAPPA CHETTIAR ROAD,2020Q1,5.1,4.76,4.34,13
MEYAPPA CHETTIAR ROAD,2019Q2,4.96,4.65,4.18,13
MEYAPPA CHETTIAR ROAD,2020Q4,4.76,4.65,4.3,13
JALAN MASJID,2019Q3,4.3,3.91,3.43,14
JALAN MASJID,2020Q1,4.16,3.89,3.7,14
JALAN HAJIJAH,2019Q3,2.46,2.34,2.25,16
OXFORD ROAD,2019Q1,2.82,2.71,2.57,08
DAKOTA CRESCENT,2018Q2,4.65,4.31,3.8,14
DAKOTA CRESCENT,2018Q4,4.54,4.13,3.77,14
DAKOTA CRESCENT,2018Q1,4.65,3.97,3.72,14
DAKOTA CRESCENT,2018Q3,4.54,4.11,3.69,14
DAKOTA CRESCENT,2019Q4,4.65,4.13,3.82,14
DAKOTA CRESCENT,2020Q2,4.8,4.4,3.74,14
DAKOTA CRESCENT,2020Q3,4.58,3.91,3.66,14
DAKOTA CRESCENT,2019Q1,4.65,4.08,3.77,14
DAKOTA CRESCENT,2019Q3,4.75,4.05,3.63,14
DAKOTA CRESCENT,2020Q1,4.44,3.98,3.74,14
DAKOTA CRESCENT,2019Q2,4.8,4.17,3.75,14
DAKOTA CRESCENT,2020Q4,4.57,4.1,3.71,14
TAMPINES STREET 86,2018Q4,3.32,3.22,3.03,18
TAMPINES STREET 86,2018Q1,3.22,3.11,2.94,18
TAMPINES STREET 86,2018Q3,3.56,3.41,3.08,18
TAMPINES STREET 86,2018Q2,3.56,3.27,3.13,18
TAMPINES STREET 86,2019Q4,3.41,3.22,2.94,18
TAMPINES STREET 86,2020Q2,3.55,3.35,2.68,18
TAMPINES STREET 86,2019Q1,3.23,3.13,3.03,18
TAMPINES STREET 86,2019Q3,3.41,3.32,2.84,18
TAMPINES STREET 86,2020Q1,3.66,3.21,2.65,18
TAMPINES STREET 86,2020Q3,3.51,3.41,3.22,18
TAMPINES STREET 86,2019Q2,3.67,3.41,2.96,18
TAMPINES STREET 86,2020Q4,3.6,3.32,3.13,18
LORONG 39 GEYLANG,2019Q3,4.41,3.86,3.27,14
LORONG 39 GEYLANG,2020Q3,4.37,3.95,3.72,14
LORONG 39 GEYLANG,2020Q2,4.21,3.91,3.6,14
LORONG 39 GEYLANG,2020Q4,4.22,3.83,3.64,14
MACKENZIE ROAD,2020Q1,3.45,3.14,2.77,09
JALAN ANAK BUKIT,2018Q3,2.54,2.2,2.11,21
JALAN ANAK BUKIT,2018Q4,2.78,2.54,2.31,21
JALAN ANAK BUKIT,2019Q3,2.8,2.29,2.07,21
JALAN ANAK BUKIT,2020Q3,2.03,1.81,1.67,21
JALAN ANAK BUKIT,2019Q2,2.64,2.23,2.03,21
JALAN ANAK BUKIT,2020Q4,2.32,1.92,1.78,21
ORANGE GROVE ROAD,2020Q3,3.66,3.36,3.23,10
JALAN PELIKAT,2018Q4,3.59,3.47,2.57,19
JALAN PELIKAT,2018Q1,3.76,3.3,2.48,19
JALAN PELIKAT,2018Q3,3.54,3.38,3.19,19
JALAN PELIKAT,2018Q2,3.59,3.38,2.71,19
JALAN PELIKAT,2019Q4,3.68,3.51,2.39,19
JALAN PELIKAT,2020Q2,3.61,3.5,3.15,19
JALAN PELIKAT,2019Q1,3.76,3.51,3.1,19
JALAN PELIKAT,2020Q3,3.76,3.5,2.53,19
JALAN PELIKAT,2019Q3,3.54,3.51,2.97,19
JALAN PELIKAT,2020Q1,3.7,3.54,3.21,19
JALAN PELIKAT,2019Q2,3.61,3.2,2.64,19
JALAN PELIKAT,2020Q4,3.68,3.47,2.5,19
LORONG 26 GEYLANG,2018Q3,3.97,3.84,3.6,14
LORONG 26 GEYLANG,2018Q2,4.04,3.59,3.27,14
LORONG 26 GEYLANG,2018Q4,4.09,3.85,3.26,14
LORONG 26 GEYLANG,2020Q2,3.95,3.72,3.59,14
LORONG 26 GEYLANG,2019Q1,4.08,3.63,3.13,14
LORONG 26 GEYLANG,2019Q3,4.07,3.92,3.61,14
LORONG 26 GEYLANG,2020Q1,4.0,3.53,3.14,14
LORONG 26 GEYLANG,2020Q3,3.98,3.87,3.48,14
LORONG 26 GEYLANG,2019Q2,3.85,3.66,3.47,14
LORONG 26 GEYLANG,2019Q4,3.82,3.32,3.1,14
LORONG 26 GEYLANG,2020Q4,4.09,3.53,3.27,14
SUFFOLK ROAD,2019Q4,3.82,3.51,3.18,11
ROBIN ROAD,2019Q3,5.36,5.2,4.97,10
ROBIN ROAD,2020Q1,5.59,5.4,5.3,10
ROBIN ROAD,2020Q4,5.29,5.19,4.97,10
TAMPINES AVENUE 1,2018Q3,2.41,2.32,2.19,18
TAMPINES AVENUE 1,2018Q2,2.51,2.39,2.28,18
TAMPINES AVENUE 1,2020Q2,2.42,2.29,2.19,18
TAMPINES AVENUE 1,2019Q1,2.3,2.24,2.19,18
TAMPINES AVENUE 1,2019Q3,2.41,2.29,2.2,18
TAMPINES AVENUE 1,2020Q3,2.45,2.34,2.2,18
TAMPINES AVENUE 1,2020Q4,2.35,2.24,2.17,18
TANAH MERAH KECHIL LINK,2018Q4,3.97,3.52,3.26,16
TANAH MERAH KECHIL LINK,2018Q1,4.19,3.83,3.42,16
TANAH MERAH KECHIL LINK,2018Q3,4.08,3.58,3.32,16
TANAH MERAH KECHIL LINK,2018Q2,4.08,3.74,3.31,16
TANAH MERAH KECHIL LINK,2019Q4,4.08,3.64,3.28,16
TANAH MERAH KECHIL LINK,2020Q2,4.08,3.52,3.19,16
TANAH MERAH KECHIL LINK,2020Q3,4.08,3.57,3.14,16
TANAH MERAH KECHIL LINK,2019Q1,3.88,3.63,3.21,16
TANAH MERAH KECHIL LINK,2019Q3,4.08,3.62,3.22,16
TANAH MERAH KECHIL LINK,2020Q1,4.03,3.73,3.52,16
TANAH MERAH KECHIL LINK,2019Q2,4.01,3.64,3.14,16
TANAH MERAH KECHIL LINK,2020Q4,4.02,3.57,3.19,16
NEWTON ROAD,2018Q1,6.13,5.77,5.48,11
NEWTON ROAD,2018Q3,5.84,5.55,5.27,11
NEWTON ROAD,2018Q2,6.0,5.69,5.51,11
NEWTON ROAD,2018Q4,5.7,5.27,5.03,11
NEWTON ROAD,2020Q2,4.86,4.63,4.52,11
NEWTON ROAD,2019Q3,5.7,5.38,4.85,11
NEWTON ROAD,2019Q2,6.15,5.89,5.41,11
NEWTON ROAD,2019Q4,5.43,4.95,4.59,11
TELOK BLANGAH ROAD,2018Q1,3.55,3.41,3.1,04
TELOK BLANGAH ROAD,2018Q3,3.35,3.14,2.86,04
TELOK BLANGAH ROAD,2018Q2,3.48,3.22,2.94,04
TELOK BLANGAH ROAD,2018Q4,3.51,3.16,2.92,04
TELOK BLANGAH ROAD,2019Q1,3.42,3.12,3.04,04
TELOK BLANGAH ROAD,2019Q3,3.57,3.32,3.03,04
TELOK BLANGAH ROAD,2020Q1,3.39,3.25,2.98,04
TELOK BLANGAH ROAD,2019Q2,3.44,3.08,2.73,04
TELOK BLANGAH ROAD,2019Q4,3.35,3.12,3.02,04
TELOK BLANGAH ROAD,2020Q3,3.37,3.12,2.9,04
TELOK BLANGAH ROAD,2020Q2,3.32,3.07,2.79,04
TELOK BLANGAH ROAD,2020Q4,3.36,3.23,3.06,04
MEYER ROAD,2018Q4,3.64,3.32,3.12,15
MEYER ROAD,2018Q1,3.28,3.16,2.99,15
MEYER ROAD,2018Q3,3.63,3.43,2.96,15
MEYER ROAD,2018Q2,3.88,3.33,3.22,15
MEYER ROAD,2019Q4,3.03,2.92,2.85,15
MEYER ROAD,2019Q3,3.67,3.43,3.08,15
MEYER ROAD,2020Q3,3.17,3.07,2.89,15
MEYER ROAD,2020Q1,3.21,3.07,2.93,15
MEYER ROAD,2019Q2,3.6,3.35,3.24,15
MEYER ROAD,2020Q4,3.13,2.98,2.85,15
GEYLANG ROAD,2020Q2,4.3,4.05,3.04,14
GEYLANG ROAD,2020Q3,4.37,4.2,3.95,14
GEYLANG ROAD,2019Q3,4.37,3.96,3.8,14
GEYLANG ROAD,2020Q1,3.88,3.68,3.3,14
GEYLANG ROAD,2019Q4,4.01,3.81,2.93,14
GEYLANG ROAD,2020Q4,4.1,3.8,2.95,14
FLORA ROAD,2018Q3,2.24,1.84,1.65,17
FLORA ROAD,2018Q1,2.07,2.02,1.84,17
FLORA ROAD,2019Q1,2.24,2.02,1.73,17
FLORA ROAD,2018Q2,2.46,2.02,1.64,17
FLORA ROAD,2018Q4,2.24,1.84,1.66,17
FLORA ROAD,2019Q3,2.03,1.86,1.7,17
FLORA ROAD,2020Q1,2.06,1.89,1.78,17
FLORA ROAD,2019Q2,2.46,1.92,1.68,17
FLORA ROAD,2019Q4,2.17,1.91,1.77,17
FLORA ROAD,2020Q2,2.03,1.99,1.63,17
FLORA ROAD,2020Q4,2.03,1.9,1.76,17
ROSEWOOD DRIVE,2018Q1,3.6,3.26,2.77,25
ROSEWOOD DRIVE,2018Q3,3.48,3.16,2.99,25
ROSEWOOD DRIVE,2018Q2,3.48,3.36,2.84,25
ROSEWOOD DRIVE,2018Q4,3.6,3.25,2.65,25
ROSEWOOD DRIVE,2020Q3,3.48,3.27,2.95,25
ROSEWOOD DRIVE,2020Q2,3.48,3.37,2.91,25
ROSEWOOD DRIVE,2019Q1,3.51,3.31,2.92,25
ROSEWOOD DRIVE,2019Q3,3.48,3.16,2.78,25
ROSEWOOD DRIVE,2020Q1,3.6,3.36,2.95,25
ROSEWOOD DRIVE,2019Q2,3.48,3.48,2.99,25
ROSEWOOD DRIVE,2019Q4,3.48,3.37,2.98,25
ROSEWOOD DRIVE,2020Q4,3.72,3.48,3.16,25
SHENTON WAY,2018Q1,4.85,4.29,3.86,01
SHENTON WAY,2018Q3,5.16,4.24,3.91,01
SHENTON WAY,2018Q2,5.53,4.55,4.22,01
SHENTON WAY,2018Q4,5.51,4.4,4.0,01
SHENTON WAY,2020Q2,5.46,4.55,4.09,01
SHENTON WAY,2020Q3,5.05,4.28,4.0,01
SHENTON WAY,2019Q1,5.41,4.55,4.08,01
SHENTON WAY,2019Q3,5.68,4.69,4.06,01
SHENTON WAY,2020Q1,4.93,4.49,3.93,01
SHENTON WAY,2019Q2,5.36,4.65,4.22,01
SHENTON WAY,2019Q4,5.7,4.48,4.17,01
SHENTON WAY,2020Q4,5.12,4.28,3.94,01
MOUNT SINAI DRIVE,2019Q3,3.29,2.97,2.92,10
MOUNT SINAI DRIVE,2019Q4,3.24,3.15,2.85,10
SELETAR ROAD,2018Q4,2.93,2.74,2.55,28
SELETAR ROAD,2018Q1,2.82,2.61,2.43,28
SELETAR ROAD,2018Q3,2.92,2.74,2.6,28
SELETAR ROAD,2018Q2,2.93,2.8,2.49,28
SELETAR ROAD,2019Q4,2.99,2.82,2.64,28
SELETAR ROAD,2020Q2,3.06,2.87,2.56,28
SELETAR ROAD,2019Q1,2.9,2.72,2.51,28
SELETAR ROAD,2019Q3,2.99,2.82,2.6,28
SELETAR ROAD,2020Q3,3.04,2.86,2.61,28
SELETAR ROAD,2020Q1,2.9,2.73,2.55,28
SELETAR ROAD,2019Q2,2.92,2.76,2.57,28
SELETAR ROAD,2020Q4,3.03,2.82,2.61,28
BEATTY ROAD,2019Q4,5.53,5.01,4.57,08
BEATTY ROAD,2019Q3,5.31,4.84,4.66,08
BEATTY ROAD,2020Q3,5.57,5.18,4.64,08
BEATTY ROAD,2020Q1,5.96,5.48,4.91,08
BEATTY ROAD,2020Q4,5.48,4.97,4.72,08
MINBU ROAD,2018Q3,3.94,3.59,3.42,11
MINBU ROAD,2020Q3,3.89,3.52,3.35,11
MINBU ROAD,2019Q1,3.96,3.58,3.33,11
MINBU ROAD,2019Q3,3.81,3.47,3.32,11
MINBU ROAD,2019Q2,3.68,3.51,3.42,11
MINBU ROAD,2019Q4,3.96,3.66,3.48,11
PUNGGOL WALK,2020Q3,2.84,2.6,2.4,19
PUNGGOL WALK,2018Q3,2.77,2.58,2.35,19
PUNGGOL WALK,2018Q1,2.73,2.54,2.39,19
PUNGGOL WALK,2019Q1,2.71,2.49,2.32,19
PUNGGOL WALK,2018Q2,2.7,2.54,2.39,19
PUNGGOL WALK,2018Q4,2.71,2.51,2.34,19
PUNGGOL WALK,2019Q3,2.84,2.68,2.53,19
PUNGGOL WALK,2020Q1,2.84,2.59,2.4,19
PUNGGOL WALK,2019Q2,2.77,2.68,2.38,19
PUNGGOL WALK,2019Q4,2.81,2.59,2.38,19
PUNGGOL WALK,2020Q2,2.84,2.68,2.36,19
PUNGGOL WALK,2020Q4,2.9,2.65,2.48,19
LORONG 35 GEYLANG,2020Q3,4.33,4.03,3.23,14
LORONG 35 GEYLANG,2020Q4,4.19,3.51,3.38,14
BUTTERWORTH LANE,2019Q1,2.88,2.8,2.68,15
BUTTERWORTH LANE,2018Q3,3.0,2.8,2.68,15
BUTTERWORTH LANE,2020Q1,2.58,2.52,2.45,15
WEST COAST WAY,2019Q1,3.13,3.03,2.49,05
WEST COAST WAY,2018Q3,2.8,2.62,2.34,05
WEST COAST WAY,2018Q2,3.17,2.96,2.75,05
WEST COAST WAY,2018Q4,2.94,2.85,2.78,05
WEST COAST WAY,2019Q3,3.02,2.85,2.73,05
WEST COAST WAY,2020Q1,3.17,2.92,2.66,05
WEST COAST WAY,2019Q2,3.38,2.85,2.64,05
WEST COAST WAY,2019Q4,3.06,2.97,2.8,05
WEST COAST WAY,2020Q3,2.92,2.71,2.64,05
WEST COAST WAY,2020Q2,2.96,2.86,2.8,05
MARIAM WAY,2018Q3,1.92,1.75,1.65,17
MARIAM WAY,2018Q1,1.94,1.78,1.61,17
MARIAM WAY,2019Q1,1.98,1.82,1.58,17
MARIAM WAY,2018Q2,1.92,1.8,1.55,17
MARIAM WAY,2018Q4,1.83,1.71,1.54,17
MARIAM WAY,2019Q3,1.77,1.73,1.64,17
MARIAM WAY,2020Q1,1.98,1.81,1.71,17
MARIAM WAY,2019Q2,1.87,1.74,1.62,17
MARIAM WAY,2019Q4,1.96,1.76,1.57,17
MARIAM WAY,2020Q3,1.9,1.77,1.64,17
MARIAM WAY,2020Q2,1.92,1.84,1.72,17
MARIAM WAY,2020Q4,1.97,1.74,1.69,17
TAMPINES STREET 86,2018Q1,3.29,2.77,2.47,18
TAMPINES STREET 86,2018Q3,3.22,2.84,2.47,18
TAMPINES STREET 86,2018Q2,3.32,2.68,2.53,18
TAMPINES STREET 86,2018Q4,2.9,2.6,2.41,18
TAMPINES STREET 86,2020Q3,3.29,2.71,2.25,18
TAMPINES STREET 86,2020Q2,3.27,2.71,2.45,18
TAMPINES STREET 86,2019Q1,3.22,2.83,2.57,18
TAMPINES STREET 86,2019Q3,3.28,2.61,2.41,18
TAMPINES STREET 86,2020Q1,3.41,2.84,2.48,18
TAMPINES STREET 86,2019Q2,3.22,2.7,2.37,18
TAMPINES STREET 86,2019Q4,3.24,2.76,2.51,18
TAMPINES STREET 86,2020Q4,3.16,2.71,2.5,18
LORONG 20 GEYLANG,2020Q3,3.81,3.57,3.5,14
KENG LEE ROAD,2019Q3,4.25,4.03,3.89,11
KENG LEE ROAD,2020Q4,4.08,3.72,3.54,11
UPPER EAST COAST ROAD,2019Q3,3.17,3.05,2.46,16
UPPER EAST COAST ROAD,2020Q4,3.23,3.1,2.93,16
HILLVIEW AVENUE,2018Q1,2.59,2.28,2.05,23
HILLVIEW AVENUE,2018Q3,2.61,2.32,2.12,23
HILLVIEW AVENUE,2018Q2,2.4,2.33,2.16,23
HILLVIEW AVENUE,2018Q4,2.55,2.34,2.22,23
HILLVIEW AVENUE,2019Q3,2.54,2.32,2.09,23
HILLVIEW AVENUE,2019Q2,2.64,2.3,2.22,23
HILLVIEW AVENUE,2020Q3,2.31,2.19,2.06,23
HILLVIEW AVENUE,2020Q2,2.35,2.23,2.13,23
SOPHIA ROAD,2020Q3,5.0,4.91,4.71,09
SOPHIA ROAD,2019Q3,5.24,4.77,4.37,09
SOPHIA ROAD,2019Q4,5.36,5.0,4.66,09
SOPHIA ROAD,2020Q4,4.82,4.61,4.38,09
NASSIM HILL,2019Q3,4.75,4.53,4.29,10
ARCADIA ROAD,2018Q1,2.94,2.72,2.47,11
ARCADIA ROAD,2018Q3,2.84,2.69,2.53,11
ARCADIA ROAD,2018Q2,2.94,2.77,2.47,11
ARCADIA ROAD,2018Q4,3.25,2.69,2.26,11
ARCADIA ROAD,2019Q3,2.86,2.69,2.39,11
ARCADIA ROAD,2020Q1,2.73,2.39,2.17,11
ARCADIA ROAD,2019Q2,3.14,2.9,2.55,11
ARCADIA ROAD,2019Q4,2.69,2.2,1.91,11
ARCADIA ROAD,2020Q3,2.8,2.46,2.25,11
