region,street,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,project,x,y,nettPrice
CCR,SHENTON WAY,126.0,36-40,1,318,1,3349500,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,112.0,46-50,1,1216,1,2747800,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,44.0,51-55,1,918,1,1464000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,1454000.0
CCR,SHENTON WAY,69.0,21-25,1,1216,1,1610750,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,44.0,41-45,1,816,1,1234200,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,96.0,26-30,1,218,2,2130000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,113.0,41-45,1,1016,1,2319240,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,112.0,46-50,1,1216,2,2382000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,44.0,46-50,1,317,1,1275660,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,44.0,41-45,1,317,1,1261980,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,69.0,26-30,1,117,1,1634550,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,45.0,06-10,1,1118,2,1150000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,142.0,11-15,1,917,1,3150000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,69.0,21-25,1,1117,1,1906000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,142.0,11-15,1,417,1,2790000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,45.0,21-25,1,218,1,1326528,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,42.0,21-25,1,616,1,1098200,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,142.0,11-15,1,517,1,2832000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,112.0,36-40,1,917,2,2380000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,44.0,41-45,1,117,1,1260000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,64.0,26-30,1,217,2,1450000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,45.0,06-10,1,318,2,1050000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,69.0,11-15,1,1216,1,1560600,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,42.0,26-30,1,1016,1,1150000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,142.0,41-45,1,417,1,3210000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,164.0,46-50,1,1016,1,3820000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,47.0,51-55,1,818,1,1616000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,1567520.0
CCR,SHENTON WAY,112.0,46-50,1,417,1,2650000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,44.0,41-45,1,1116,1,1276240,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,113.0,41-45,1,1017,1,2800000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,44.0,46-50,1,317,1,1305585,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,164.0,36-40,1,119,1,3638000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,44.0,11-15,1,318,2,1048000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,64.0,26-30,1,1217,2,1600000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,142.0,41-45,1,417,1,3174000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,42.0,51-55,1,418,1,1458000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,141.0,36-40,1,119,1,3130000,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
CCR,SHENTON WAY,126.0,36-40,1,517,1,2823210,Apartment,1,Strata,99 yrs lease commencing from 2011,V ON SHENTON,1.345476771473498,103.7818978642429,0.0
