district,propertyType,contractDate,tenure,per_meter_square,typeOfArea
7,Apartment,12-2019,99-years,30743.16,Strata
7,Apartment,10-2019,99-years,31485.71,Strata
7,Apartment,10-2019,99-years,32350.0,Strata
7,Apartment,10-2019,99-years,41748.89,Strata
7,Apartment,12-2019,99-years,31231.25,Strata
7,Apartment,10-2019,99-years,29791.58,Strata
7,Apartment,10-2019,99-years,33962.22,Strata
7,Apartment,12-2019,99-years,31662.86,Strata
7,Apartment,10-2019,99-years,40413.33,Strata
7,Apartment,10-2019,99-years,32064.29,Strata
7,Apartment,04-2020,99-years,29520.0,Strata
7,Apartment,10-2019,99-years,34278.95,Strata
7,Apartment,03-2020,99-years,29110.14,Strata
7,Apartment,10-2019,99-years,30665.12,Strata
7,Apartment,10-2019,99-years,29205.71,Strata
7,Apartment,10-2019,99-years,30987.76,Strata
7,Apartment,10-2019,99-years,30490.48,Strata
7,Apartment,10-2019,99-years,31773.81,Strata
7,Apartment,11-2019,99-years,31495.35,Strata
7,Apartment,10-2019,99-years,26919.63,Strata
7,Apartment,11-2019,99-years,32579.41,Strata
7,Apartment,10-2019,99-years,37295.59,Strata
7,Apartment,10-2019,99-years,28539.84,Strata
7,Apartment,10-2019,99-years,35218.42,Strata
7,Apartment,10-2019,99-years,36736.76,Strata
7,Apartment,10-2019,99-years,32325.58,Strata
7,Apartment,02-2020,99-years,30975.61,Strata
7,Apartment,10-2019,99-years,33004.76,Strata
7,Apartment,10-2019,99-years,33957.89,Strata
7,Apartment,10-2019,99-years,30904.76,Strata
7,Apartment,06-2020,99-years,37002.27,Strata
7,Apartment,06-2020,99-years,31902.27,Strata
7,Apartment,01-2020,99-years,32408.89,Strata
7,Apartment,10-2019,99-years,30865.71,Strata
7,Apartment,10-2019,99-years,32060.47,Strata
7,Apartment,10-2019,99-years,31126.47,Strata
7,Apartment,01-2020,99-years,31211.63,Strata
7,Apartment,11-2019,99-years,35539.47,Strata
7,Apartment,08-2020,99-years,30239.53,Strata
7,Apartment,01-2020,99-years,31195.24,Strata
7,Apartment,10-2019,99-years,33102.33,Strata
7,Apartment,07-2020,99-years,33639.47,Strata
7,Apartment,10-2019,99-years,27028.99,Strata
7,Apartment,01-2020,99-years,32623.81,Strata
7,Apartment,12-2019,99-years,27391.3,Strata
7,Apartment,11-2019,99-years,28173.91,Strata
7,Apartment,01-2020,99-years,28539.84,Strata
7,Apartment,11-2019,99-years,28439.13,Strata
7,Apartment,12-2019,99-years,31968.89,Strata
7,Apartment,10-2019,99-years,31436.36,Strata
7,Apartment,01-2020,99-years,30522.06,Strata
7,Apartment,08-2020,99-years,31255.81,Strata
7,Apartment,08-2020,99-years,33051.16,Strata
7,Apartment,02-2020,99-years,33157.89,Strata
7,Apartment,04-2020,99-years,33421.43,Strata
7,Apartment,01-2021,99-years,33797.78,Strata
4,Detached,09-2020,99-years,24393.85,Land
4,Detached,09-2016,99-years,11922.11,Land
4,Detached,06-2017,99-years,15553.83,Land
4,Detached,04-2017,99-years,14507.47,Land
4,Detached,05-2018,99-years,21995.29,Land
4,Detached,12-2019,99-years,17969.64,Land
4,Detached,11-2018,99-years,27068.38,Land
4,Detached,01-2019,99-years,20966.95,Land
4,Detached,08-2020,99-years,30819.14,Land
4,Detached,04-2019,99-years,19079.42,Land
4,Terrace,06-2016,99-years,21748.05,Land
4,Terrace,08-2017,99-years,19100.79,Land
4,Terrace,06-2019,99-years,19763.65,Land
4,Detached,03-2017,99-years,20299.96,Land
4,Detached,07-2017,99-years,19455.25,Land
4,Detached,10-2016,99-years,15265.06,Land
4,Detached,01-2020,99-years,15223.02,Land
4,Detached,01-2020,99-years,12886.6,Land
4,Detached,08-2020,99-years,16335.38,Land
2,Apartment,12-2019,99-years,22857.14,Strata
2,Apartment,09-2020,99-years,21836.73,Strata
2,Apartment,11-2020,99-years,22285.71,Strata
2,Apartment,11-2020,99-years,22450.98,Strata
2,Apartment,04-2016,99-years,21532.47,Strata
2,Apartment,07-2016,99-years,21568.63,Strata
2,Apartment,11-2016,99-years,21532.47,Strata
2,Apartment,08-2017,99-years,21559.63,Strata
2,Apartment,11-2016,99-years,22352.94,Strata
2,Apartment,08-2017,99-years,23214.29,Strata
2,Apartment,10-2017,99-years,20625.0,Strata
2,Apartment,08-2016,99-years,21794.87,Strata
2,Apartment,02-2018,99-years,24693.88,Strata
2,Apartment,12-2016,99-years,21500.0,Strata
2,Apartment,11-2017,99-years,22500.0,Strata
2,Apartment,12-2016,99-years,22077.92,Strata
2,Apartment,09-2019,99-years,24509.8,Strata
2,Apartment,01-2017,99-years,22448.98,Strata
2,Apartment,04-2017,99-years,21818.18,Strata
2,Apartment,06-2017,99-years,18750.0,Strata
2,Apartment,02-2016,99-years,20714.29,Strata
2,Apartment,11-2016,99-years,21688.31,Strata
2,Apartment,02-2017,99-years,22127.66,Strata
2,Apartment,10-2017,99-years,24489.8,Strata
2,Apartment,09-2019,99-years,23294.12,Strata
2,Apartment,04-2019,99-years,25510.2,Strata
2,Apartment,09-2019,99-years,23571.43,Strata
2,Apartment,08-2017,99-years,22142.86,Strata
2,Apartment,02-2018,99-years,23214.29,Strata
2,Apartment,07-2018,99-years,21142.86,Strata
2,Apartment,11-2016,99-years,21568.63,Strata
2,Apartment,03-2019,99-years,22857.14,Strata
2,Apartment,09-2020,99-years,20400.0,Strata
2,Apartment,02-2016,99-years,21607.14,Strata
7,Apartment,10-2017,999-years,17788.46,Strata
1,Condominium,10-2020,99-years,21904.76,Strata
1,Condominium,12-2020,99-years,21212.12,Strata
1,Condominium,01-2017,99-years,22061.9,Strata
1,Condominium,09-2017,99-years,22055.07,Strata
1,Condominium,11-2017,99-years,29069.02,Strata
1,Condominium,07-2018,99-years,39545.45,Strata
1,Condominium,12-2017,99-years,21142.86,Strata
1,Condominium,03-2016,99-years,26153.85,Strata
1,Condominium,03-2017,99-years,21323.53,Strata
1,Condominium,05-2017,99-years,22144.93,Strata
1,Condominium,07-2017,99-years,21470.59,Strata
1,Condominium,04-2018,99-years,26491.23,Strata
1,Condominium,10-2016,99-years,22794.12,Strata
1,Condominium,07-2016,99-years,29347.83,Strata
1,Condominium,11-2016,99-years,26315.79,Strata
1,Condominium,07-2017,99-years,34841.63,Strata
1,Condominium,08-2017,99-years,23939.39,Strata
1,Condominium,08-2016,99-years,21212.12,Strata
1,Condominium,05-2017,99-years,21818.18,Strata
1,Condominium,08-2016,99-years,21520.0,Strata
1,Condominium,11-2016,99-years,21954.29,Strata
1,Condominium,07-2017,99-years,22727.27,Strata
1,Condominium,10-2017,99-years,22121.21,Strata
1,Condominium,06-2018,99-years,23000.0,Strata
1,Condominium,03-2016,99-years,30363.64,Strata
1,Condominium,02-2018,99-years,24242.42,Strata
1,Condominium,08-2018,99-years,24264.71,Strata
1,Condominium,08-2016,99-years,21212.12,Strata
1,Condominium,05-2018,99-years,23484.85,Strata
1,Condominium,02-2018,99-years,22020.2,Strata
1,Condominium,07-2018,99-years,30434.78,Strata
1,Condominium,01-2020,99-years,22794.12,Strata
1,Condominium,05-2019,99-years,28070.18,Strata
1,Condominium,07-2018,99-years,26913.27,Strata
1,Condominium,06-2016,99-years,22727.27,Strata
1,Condominium,04-2018,99-years,26754.39,Strata
1,Condominium,08-2018,99-years,20952.38,Strata
1,Condominium,08-2017,99-years,21800.0,Strata
1,Condominium,02-2019,99-years,23809.52,Strata
1,Condominium,02-2019,99-years,25263.16,Strata
1,Condominium,10-2019,99-years,22794.12,Strata
